,Location,Model,Type,Reference,Lithology,Sample,Mg,Al,Si,Ti,V,Mn,Cr,Zn,Co,Ni,Ga,Fe
1602,Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-061-10,60.82145293776998,58.23071963314127,5178.400318682552,14.130553510005468,21.801340358385723,147.00271692701708,6.0,8.085368497031688,6.827139948694015,2.0,1.9024471934064298,69.10326181418068
1603,Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-061-11,132.86454745937795,186.474429546624,4952.797336854462,11.0,25.151120480203804,2359.000481336255,6.0,11.128138374194448,7.360235253694834,2.0,1.970387777597755,68.88318050847984
1604,Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-061-12,87.12076616924888,70.55814603986218,13825.560824340379,11.0,22.00320330208852,154.1336438438353,6.0,8.911089727148918,6.415319908032352,2.0,1.5110836886519328,67.76955242205149
1605,Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-061-13,107.30515142547388,151.50889276875589,12086.52807507435,11.0,23.315315478323697,589.740396482727,6.0,8.904823809972866,6.157026606652444,2.0,1.757442773496208,68.00904657605948
1606,Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-063-01,159.59549329723217,57.87724106345482,3616.4416926286535,65.01241886714081,23.048493835322766,167.78080763511048,6.0,10.96978784442704,18.668125213380407,2.0,1.8109662197733278,69.23404532546184
1607,Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-063-02,166.18314083599958,65.17762549757833,5995.739115714974,41.03721262146979,17.750153746649275,200.68489659404335,6.0,13.954676489652732,18.805296695693226,2.0,1.83645634175553,68.80309395655006
1608,Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-063-03,179.15732532006376,118.76601362885769,5447.463721783636,40.055786308330376,17.545798067938538,170.09565912612806,17.242316861353245,16.462874246841704,19.6911435445917,2.1766077239920523,1.8003120982213043,68.88565889401532
1609,Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-063-04,160.32303851438,98.49332402221707,4517.156144319988,39.215132824912665,21.60825554930179,178.5479575982879,6.0,11.83743758934698,20.94732428042208,2.0,1.7080748400017782,69.2012058794815
1610,Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-063-05,184.33926038947905,128.12684209866129,4429.782083363936,40.77896610244225,20.021978798484817,172.53178176597424,6.0,9.760732624966014,24.090330217680265,2.0,1.6126638393809674,69.05971147246652
1611,Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-063-06,198.48722897529532,135.27082728128747,7539.227567756236,38.102800315434614,20.028113894501825,189.0187643205347,6.0,11.101008375625645,24.886146374232844,2.212486689411552,1.7853269938049081,68.73070469813175
1612,Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-063-07,184.2859125423942,70.887523692742,7633.886808090481,45.522286748563886,19.097280156823413,197.44781296207708,9.543691993950189,13.393545438339583,26.708650614197367,2.0,2.0946343989602627,68.66508489035067
1613,Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-063-08,184.2074676087509,59.27463536385702,6384.798772140537,40.68229360145422,21.18393092804893,189.52681449919018,6.0,11.432312392236366,24.380822543663918,2.0,1.8291106792559793,68.78474414742715
1614,Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-063-09,174.57028678372313,109.83458403310223,5544.057782130104,43.38344403255286,19.623478362404562,174.68437694640912,6.0,10.69437546457387,22.714782227287763,2.0,1.6268869825501822,68.93301831534922
1615,Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-063-10,141.76946135619806,82.24318008074904,3216.321326041071,61.55130442212424,23.403792716635124,191.20441936106192,6.0,10.250363999043378,20.378451546401315,2.0,1.88287656729233,69.34382705228805
1616,Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-063-11,159.2967632673066,94.18283507483326,3553.874415357047,38.30324400505448,17.197367516731468,183.04092630333182,12.270969317747047,13.58192782068811,20.167186694424064,2.0,1.8614854588316054,69.17242535098106
1617,Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-063-12,137.87257986465826,75.57777443207044,3930.5851043583752,47.17880208417478,20.917270075341317,193.47599773014824,9.250683628757667,12.752666284741812,17.519190467653893,3.0934845106750446,1.6420445512644328,69.16411664463094
1618,Lake Superior,BIF,Altered,Chung et al 2015,,HY-62-1,129.34104730007533,51.2437951572247,6551.141885083884,95.5627374695459,40.85674403707868,31.857586271663994,6.0,6.0,2.0956470902473434,2.0,1.2659269661338912,68.89432479368914
1619,Lake Superior,BIF,Altered,Chung et al 2015,,HY-62-2,107.28065657263893,40.258045847656156,5400.633973177457,199.10097555646524,38.010116214547764,34.739884458086635,6.0,6.0,2.2947559966415847,2.0,1.0065552077173152,69.08017572764106
1620,Lake Superior,BIF,Altered,Chung et al 2015,,HY-62-3,124.18855431197792,109.5363975999019,4629.124454415597,105.43120704232828,31.918282048575982,42.692014622266996,6.0,6.0,1.7061492900367745,2.0,1.0262041905530714,69.17063876467809
1621,Lake Superior,BIF,Altered,Chung et al 2015,,HY-62-4,107.01973733302987,47.869509150101976,5983.943352047192,94.98838098048044,36.337842884702376,34.182316893795935,6.0,6.0,1.9789884681187304,2.0,1.1837280358818332,68.97940479019616
1622,Lake Superior,BIF,Altered,Chung et al 2015,,HY-62-5,151.94959956176595,123.02301504283074,4531.785866385457,77.23874566290387,34.11194885775694,44.23771229790667,6.0,6.0,2.4602669672367403,2.0,1.4935151202716053,69.17028864702998
1623,Lake Superior,BIF,Altered,Chung et al 2015,,HY-62-6,159.39707754457942,61.623111300533026,4142.7935858149285,112.0560512159719,44.995225526986786,35.562638528797336,6.0,6.0,1.7984855258679158,2.0,1.59913432683911,69.24772646376722
1624,Lake Superior,BIF,Altered,Chung et al 2015,,HY-62-7,297.04802524503316,101.01553275663649,5860.65908774676,82.71386872663614,42.20832563291449,35.890735966845334,6.0,6.0,1.9785275140080196,2.0,1.0223903207602012,68.94790356495423
1625,Lake Superior,BIF,Altered,Chung et al 2015,,HY-62-8,147.72335141544713,70.0941816071694,6246.46375650887,194.4373534416941,34.145574157634975,39.843397909824226,6.546460008852554,6.0,1.867273502826146,3.4852903749895625,1.096793670639614,68.94409859076401
1626,Lake Superior,BIF,Altered,Chung et al 2015,,HY-62-9,157.16214228613947,33.74006965106675,5322.070833198386,115.07357895270597,39.95268977771182,32.227159255727905,6.0,6.0,1.884143032492973,2.0,1.0,69.06487960882335
